V1,V2
4.533200000000001, 6.0654200000000005
5.206510000000001, 5.9459100000000005
5.16664, 6.602900000000001
5.70023, 5.70741
5.24035, 5.184430000000001
5.4495700000000005, 5.05968
5.0310500000000005, 5.77815
5.15747, 6.017040000000001
5.885090000000001, 6.661530000000001
5.33602, 5.84471
4.88815, 7.366180000000001
5.554360000000001, 6.484590000000001
5.25149, 5.98859
5.27235, 5.978040000000001
5.321630000000001, 4.8788
4.56899, 5.35857
4.582400000000001, 6.49408
4.49835, 6.816070000000001
5.362830000000001, 6.64397
4.90765, 6.41584
4.54105, 4.62204
4.52479, 7.33351
5.30851, 6.40929
5.372850000000001, 4.84173
5.1720500000000005, 6.041600000000001
5.2328, 6.042750000000001
5.87302, 6.0998600000000005
4.74852, 6.257720000000001
5.24603, 6.21588
5.414420000000001, 6.4379800000000005
5.332750000000001, 5.97808
5.61366, 6.39125
5.42921, 5.77831
5.357270000000001, 5.6844600000000005
5.05281, 5.790150000000001
5.07854, 5.13056
5.198390000000001, 5.94718
5.4305, 5.94144
5.026420000000001, 6.150060000000001
4.57526, 6.586530000000001
4.541, 6.378220000000001
4.7891900000000005, 5.31404
5.2597700000000005, 5.955520000000001
5.30335, 5.93501
4.85899, 6.18292
5.20162, 6.067130000000001
5.797540000000001, 6.075060000000001
4.4892900000000004, 6.990900000000001
5.19817, 6.005280000000001
5.90437, 6.52317
5.65852, 7.31472
5.30337, 6.095440000000001
5.91664, 4.414770000000001
5.1866, 6.031000000000001
5.4313400000000005, 5.15387
5.49643, 6.158150000000001
5.36765, 3.6827900000000002
4.905830000000001, 4.47151
4.620950000000001, 6.03185
5.21037, 6.25633
5.17783, 4.488910000000001
5.04286, 5.862150000000001
4.49791, 5.08708
5.05975, 5.7462100000000005
5.65315, 5.707090000000001
5.0599300000000005, 6.020270000000001
4.81399, 6.39977
5.287050000000001, 6.1554
4.96874, 6.08333
5.09135, 6.104030000000001
5.514950000000001, 5.341290000000001
5.1111200000000006, 6.09032
5.40324, 6.54879
5.185230000000001, 7.317550000000001
5.9233400000000005, 5.5423100000000005
4.583340000000001, 7.171590000000001
5.637600000000001, 5.5679300000000005
4.98993, 4.7768500000000005
4.61951, 6.768190000000001
5.42473, 6.196330000000001
5.776960000000001, 5.588900000000001
5.28282, 4.5440000000000005
5.05044, 6.48336
5.02254, 5.99976
5.407240000000001, 6.1240000000000006
5.271730000000001, 6.384010000000001
4.5782300000000005, 7.329110000000001
5.560580000000001, 6.410430000000001
5.048920000000001, 6.360620000000001
5.193230000000001, 6.04971
5.52242, 5.977620000000001
5.19915, 7.5686800000000005
5.100630000000001, 6.08495
4.655130000000001, 5.291320000000001
5.48305, 7.898600000000001
5.833290000000001, 5.791760000000001
5.5644800000000005, 5.80076
5.338660000000001, 6.30754
5.1547600000000005, 6.10111
5.23927, 5.61491
5.3774500000000005, 7.307270000000001
4.96614, 6.34895
5.324520000000001, 6.20413
5.36056, 5.92316
5.9331000000000005, 6.02181
4.960710000000001, 6.415070000000001
5.344720000000001, 7.23007
5.6089, 6.713800000000001
5.8763000000000005, 6.03523
4.65477, 5.77209
5.15948, 5.9956700000000005
5.68984, 5.08467
5.03169, 5.843190000000001
4.74033, 6.048150000000001
5.471100000000001, 6.351520000000001
4.68222, 5.584580000000001
5.17396, 5.9967500000000005
5.30689, 6.05173
5.591970000000001, 7.07148
4.812950000000001, 6.06981
5.008640000000001, 6.02869
5.30677, 4.48636
4.78788, 5.365460000000001
5.75107, 6.054900000000001
5.568650000000001, 5.76259
5.023770000000001, 4.6374200000000005
5.607950000000001, 5.067030000000001
4.9893, 6.06521
4.37919, 5.2981300000000005
4.78859, 6.05506
4.8113, 5.719320000000001
4.69019, 6.50175
5.502190000000001, 5.11903
5.480720000000001, 6.45976
4.785410000000001, 6.416010000000001
4.87619, 5.777590000000001
4.58678, 5.82469
5.12861, 5.95314
5.3053300000000005, 6.17715
5.1783, 6.021280000000001
4.777620000000001, 5.602600000000001
5.82223, 5.888890000000001
4.83506, 6.16626
4.9125000000000005, 5.51419
5.17028, 5.953320000000001
5.1856, 5.366650000000001
4.73296, 6.754620000000001
5.5216, 5.854900000000001
5.07965, 6.937860000000001
5.73714, 5.64928
4.94814, 6.06104
4.820600000000001, 5.836480000000001
5.317550000000001, 5.8969700000000005
4.5048, 7.149960000000001
4.808210000000001, 5.651160000000001
4.808050000000001, 6.859350000000001
4.8163100000000005, 6.361770000000001
5.4520800000000005, 6.37065
5.938720000000001, 6.97763
5.1612100000000005, 6.0200700000000005
4.943390000000001, 6.15498
4.82361, 4.82641
4.9782, 5.6144300000000005
4.90094, 5.34384
5.5022, 5.743970000000001
5.566590000000001, 6.4049700000000005
5.1741600000000005, 6.024290000000001
4.968470000000001, 5.83462
5.853330000000001, 5.958570000000001
5.9272100000000005, 5.57481
5.170030000000001, 6.0176300000000005
5.4779800000000005, 5.723990000000001
5.6104400000000005, 6.209600000000001
5.110790000000001, 6.196680000000001
5.36605, 6.196510000000001
5.31691, 7.9013800000000005
5.12216, 6.231660000000001
5.24997, 6.00241
5.8535, 6.323460000000001
5.829230000000001, 6.747770000000001
5.6180900000000005, 5.884480000000001
5.111680000000001, 6.00267
5.9233400000000005, 5.49213
5.789370000000001, 6.1982800000000005
4.86686, 6.019920000000001
5.77901, 5.917210000000001
5.014830000000001, 5.811570000000001
4.57462, 7.073510000000001
4.948770000000001, 5.9804200000000005
4.84635, 6.418450000000001
5.388730000000001, 6.072010000000001
4.37948, 6.758570000000001
5.04769, 6.02742
5.537380000000001, 6.25842
5.41181, 5.928350000000001
4.6045300000000005, 6.63248
5.173240000000001, 6.511710000000001
5.528560000000001, 6.32819
5.8658600000000005, 5.24767
5.173290000000001, 5.97341
5.00534, 5.94406
5.1262300000000005, 6.159160000000001
5.176480000000001, 6.02787
5.1581, 6.089790000000001
5.19226, 6.0375700000000005
5.651770000000001, 5.7201200000000005
5.088520000000001, 6.109070000000001
4.92011, 5.534230000000001
5.1385700000000005, 6.06505
5.19814, 6.12122
5.121440000000001, 6.04265
5.131460000000001, 6.110880000000001
5.06292, 6.1496900000000005
5.55478, 5.08284
5.3257900000000005, 5.450850000000001
5.20899, 5.98617
5.19082, 6.044510000000001
4.3521600000000005, 7.033320000000001
4.99835, 6.633710000000001
5.4066, 5.784210000000001
5.47839, 6.49983
4.85177, 5.53455
5.47736, 5.566470000000001
4.807580000000001, 5.7926
